elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw,velocity x,velocity y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1733316918.4339979,-0.08298785273516235,-0.08395215109890931,-1.725096733129291e-17,-0.09659738093614578,0.0
0.07091426849365234,0.0,0.0,0.0,0.0,-0.1133747473359108,-0.1120019406080246,0.0,0.0,0.0,1733316918.4439547,-0.07227324976784441,-0.07328039949138182,-2.3674478176822053e-17,-0.09659738093614578,-0.08224337548017502
0.08069586753845215,0.0,0.0,0.0,0.0,-0.12209730595350266,-0.12620510160923004,0.0,0.0,0.0,1733316918.453945,-0.08718909133958908,-0.09155973532579499,-3.162515057276863e-17,-0.095504529774189,-0.09523245692253113
0.09093093872070312,0.0,0.0,0.0,0.0,-0.12901969254016876,-0.14191754162311554,0.0,0.0,0.0,1733316918.4639597,-0.08287556912874759,-0.08114576692530712,-3.833012102538817e-17,-0.095504529774189,-0.08776446431875229
0.10103344917297363,0.0,0.0,0.0,0.0,-0.14951319992542267,-0.14041757583618164,0.0,0.0,0.0,1733316918.4743216,-0.07967444973653501,-0.09575727612443909,-4.584821779148526e-17,-0.0809394121170044,-0.09422872960567474
0.11149454116821289,0.0,0.0,0.0,0.0,-0.11959517747163773,-0.11009830981492996,0.0,0.0,0.0,1733316918.4840922,-0.09064049271656939,-0.08747354084906735,-5.773603920962049e-17,-0.09809296578168869,-0.08197031915187836
0.13094687461853027,0.0,0.0,0.0,0.0,-0.12321484088897705,-0.112554632127285,0.0,0.0,0.0,1733316918.4940312,-0.09783263778526692,-0.09282385412404033,-6.672497735925735e-17,-0.085456483066082,-0.08432317525148392
0.1409902572631836,0.0,0.0,0.0,0.0,-0.10701660811901093,-0.11069022864103317,0.0,0.0,0.0,1733316918.5040803,-0.08461889351564876,-0.08355262543139384,-7.345507362864249e-17,-0.09863071888685226,-0.0850905328989029
0.1409902572631836,0.0,0.0,0.0,0.0,-0.10701660811901093,-0.11069022864103317,0.0,0.0,0.0,1733316918.514027,-0.09436312201127754,-0.07061422719976321,-8.641594245111484e-17,-0.08752007782459259,-0.08317407220602036
0.15082955360412598,0.0,0.0,0.0,0.0,-0.11210334300994873,-0.14359304308891296,0.0,0.0,0.0,1733316918.524111,-0.07536064247043076,-0.07665228553615856,-9.770738393964951e-17,-0.08651294559240341,-0.08746557682752609
0.16094326972961426,0.0,0.0,0.0,0.0,-0.1153922751545906,-0.1326228529214859,0.0,0.0,0.0,1733316918.533952,-0.08424269827978885,-0.08855754414783797,-1.0963692943003151e-16,-0.09046149998903275,-0.09814188629388809
0.18126463890075684,0.0,0.0,0.0,0.0,-0.11816106736660004,-0.11785058677196503,0.0,0.0,0.0,1733316918.5439975,-0.07738918145177512,-0.08054529638688925,-1.1405461566241578e-16,-0.08554156869649887,-0.09499154984951019
0.19135093688964844,0.0,0.0,0.0,0.0,-0.1463419646024704,-0.11732600629329681,0.0,0.0,0.0,1733316918.5542202,-0.09574499404089684,-0.09827948889451468,-1.2808079669878172e-16,-0.08347485214471817,-0.08887376636266708
0.19135093688964844,0.0,0.0,0.0,0.0,-0.1463419646024704,-0.11732600629329681,0.0,0.0,0.0,1733316918.564057,-0.08122240867841699,-0.08310010246210843,-1.405284506511156e-16,-0.08347485214471817,-0.08887376636266708
0.21097421646118164,0.0,0.0,0.0,0.0,-0.12601757049560547,-0.1147562637925148,0.0,0.0,0.0,1733316918.5740347,-0.07612348623035925,-0.07600528693193206,-1.552184975639777e-16,-0.08222503960132599,-0.09049537032842636
0.22122693061828613,0.0,0.0,0.0,0.0,-0.11127966642379761,-0.14968983829021454,0.0,0.0,0.0,1733316918.584165,-0.07001136416127123,-0.08952765305112363,-1.6077670642102487e-16,-0.09173066169023514,-0.09070033580064774
0.22122693061828613,0.0,0.0,0.0,0.0,-0.11127966642379761,-0.14968983829021454,0.0,0.0,0.0,1733316918.5940063,-0.08746206455265197,-0.09629512597746374,-1.695498164586021e-16,-0.09173066169023514,-0.09070033580064774
0.2309257984161377,0.0,0.0,0.0,0.0,-0.11081264913082123,-0.14223729074001312,0.0,0.0,0.0,1733316918.6041248,-0.0968472215940635,-0.08812080268629854,-1.8375227268335313e-16,-0.09183885902166367,-0.09265119582414627
0.25118422508239746,0.0,0.0,0.0,0.0,-0.1435268521308899,-0.13799534738063812,0.0,0.0,0.0,1733316918.614038,-0.08748006617045391,-0.09853187299242981,-1.9816636095841082e-16,-0.08128954470157623,-0.09729845076799393
0.25118422508239746,0.0,0.0,0.0,0.0,-0.1435268521308899,-0.13799534738063812,0.0,0.0,0.0,1733316918.6240003,-0.08444709093247749,-0.09155893135632862,-2.009304126569209e-16,-0.08348102867603302,-0.09729845076799393
0.27093052864074707,0.0,0.0,0.0,0.0,-0.10821755230426788,-0.13366496562957764,0.0,0.0,0.0,1733316918.6339552,-0.09566759331554844,-0.07107664023446796,-2.1271954809996579e-16,-0.09245722740888596,-0.08955152332782745
